VehicleID,PlateNumber,Model,Year,OwnerID
1,ABC-1000,Model_1,2010,1
2,ABC-1001,Model_2,2011,2
3,ABC-1002,Model_3,2012,3
4,ABC-1003,Model_4,2013,4
5,ABC-1004,Model_5,2014,5
6,ABC-1005,Model_6,2015,6
7,ABC-1006,Model_7,2016,7
8,ABC-1007,Model_8,2017,8
9,ABC-1008,Model_9,2018,9
10,ABC-1009,Model_10,2019,10
11,ABC-1010,Model_11,2020,11
12,ABC-1011,Model_12,2021,12
13,ABC-1012,Model_13,2022,13
14,ABC-1013,Model_14,2023,14
15,ABC-1014,Model_15,2024,15
16,ABC-1015,Model_16,2010,16
17,ABC-1016,Model_17,2011,17
18,ABC-1017,Model_18,2012,18
19,ABC-1018,Model_19,2013,19
20,ABC-1019,Model_20,2014,20
21,ABC-1020,Model_21,2015,21
22,ABC-1021,Model_22,2016,22
23,ABC-1022,Model_23,2017,23
24,ABC-1023,Model_24,2018,24
25,ABC-1024,Model_25,2019,25
26,ABC-1025,Model_26,2020,26
27,ABC-1026,Model_27,2021,27
28,ABC-1027,Model_28,2022,28
29,ABC-1028,Model_29,2023,29
30,ABC-1029,Model_30,2024,30
31,ABC-1030,Model_31,2010,31
32,ABC-1031,Model_32,2011,32
33,ABC-1032,Model_33,2012,33
34,ABC-1033,Model_34,2013,34
35,ABC-1034,Model_35,2014,35
36,ABC-1035,Model_36,2015,36
37,ABC-1036,Model_37,2016,37
38,ABC-1037,Model_38,2017,38
39,ABC-1038,Model_39,2018,39
40,ABC-1039,Model_40,2019,40
41,ABC-1040,Model_41,2020,41
42,ABC-1041,Model_42,2021,42
43,ABC-1042,Model_43,2022,43
44,ABC-1043,Model_44,2023,44
45,ABC-1044,Model_45,2024,45
46,ABC-1045,Model_46,2010,46
47,ABC-1046,Model_47,2011,47
48,ABC-1047,Model_48,2012,48
49,ABC-1048,Model_49,2013,49
50,ABC-1049,Model_50,2014,50
